Date,City,State,AreaType,School,Fatalities,Wounded,Desc
5/26/2000,Lake Worth,Florida,No Info,Middle School,1,0.0,"13-year-old honor student,Â¬â Nathaniel Brazill, was sent home for throwing water balloons, but returned to his Lake Worth Middle School with a family pistol. He fatally shot teacher Barry Grunow, a popular teacher, he was Brazill's favorite.[316][317]"
6/28/2000,Seattle,Washington,urban,College,2,No Info,No Info
7/26/2000,Canton,Ohio,urban,High School,1,No Info,No Info
8/28/2000,Fayetteville,Arkansas,urban,College,2,No Info,No Info
8/28/2000,Fayetteville,Arkansas,No Info,College,2,0.0,"36-year-old James Easton Kelly, a PhD candidate in Comparative Literature atÂ¬â University of Arkansas, killed 67-year-old Dr. John R. Locke, the English professor overseeing his coursework. Kelly had been dismissed from this PhD program for lack of progress toward his degree. Kelly shot Dr. Locke three times before committing suicide in the director's office, which had been isolated by campus police.[318]"
9/5/2000,Bidwell,Ohio,suburban,Elementary School,2,No Info,No Info
9/26/2000,New Orleans,Louisiana,urban,Middle School,0,No Info,No Info
9/26/2000,New Orleans,Louisiana,No Info,-,0,2.0,"13 year-olds Darrel Johnson, and Alfred Anderson were initially charged with attempted first-degree murder in the shooting of 15 year-old William Pennington. Pennington, after being shot, managed to gain control of the gun and shoot Johnson in the back.[319]Â¬â Charges were later reduced to Aggravated Battery."
10/23/2000,Los Angeles,California,urban,College,1,No Info,No Info
10/26/2000,Brooklyn,New York,urban,High School,1,No Info,No Info
10/27/2000,Memphis,Tennessee,urban,High School,1,No Info,No Info
12/1/2000,Granada Hills,California,urban,High School,0,No Info,No Info
12/1/2000,San Diego,California,No Info,High School,0,1.0,"A 15-year-oldÂ¬â Junipero Serra High SchoolÂ¬â student who showed off a handgun on campus and threatened to shoot a classmate, ended up accidentally shooting himself, causing minor injuries.[320]"
1/10/2001,Oxnard,California,urban,High School,1,No Info,No Info
1/17/2001,Baltimore,Maryland,urban,High School,1,No Info,No Info
1/29/2001,Arlington,Texas,urban,Middle School,1,No Info,No Info
3/2/2001,San Diego,California,urban,High School,0,No Info,No Info
3/5/2001,Santee,California,urban,High School,2,No Info,No Info
3/5/2001,Santee,California,No Info,High School,2,13.0,"Santana High School shooting: 15-year-old student, Charles Andrew Williams, killed two students, 14-year-old Bryan Zuckor, and 15-year-old Randy Gordon, atÂ¬â Santana High Schooland wounded thirteen others. He was arrested and convicted of murder and attempted murder. He was sentenced to life with the chance of parole after serving fifty years.[321]"
3/7/2001,Williamsport,Pennsylvania,urban,High School,0,No Info,No Info
3/7/2001,Williamsport,Pennsylvania,No Info,High School,0,1.0,"14-year-old student, Elizabeth Catherine Bush, wounded fellow student Kimberly Marchese in the cafeteria of Bishop Neumann High School; she had been frequently teased and suffered fromÂ¬â depressionÂ¬â .[322]"
3/22/2001,El Cajon,California,urban,High School,0,No Info,No Info
3/22/2001,El Cajon,California,No Info,High School,0,5.0,"18-year-old former student, Jason Hoffman, opened fire atÂ¬â Granite Hills High School, injuring five people. He was convicted of assault and sentenced to prison, where he committedÂ¬â suicidein 2002.[324]"
3/30/2001,Gary,Indiana,urban,High School,1,No Info,No Info
3/30/2001,Gary,Indiana,No Info,High School,1,0.0,"17-year-old Donald Ray Burt Jr., fatally shot Neal Boyd, IV with one bullet to the head in a parking lot outside Lew Wallace High School.[325]"
4/3/2001,Klein,Texas,urban,Middle School,0,No Info,No Info
4/25/2001,Cleveland,Ohio,urban,High School,1,No Info,No Info
5/15/2001,Ennis,Texas,suburban,High School,0,No Info,No Info
5/16/2001,Parkland,Washington,No Info,College,2,0.0,40-year-old music instructor and organist James D. Holloway was shot multiple times with a .22-caliber handgun atÂ¬â Pacific Lutheran UniversityÂ¬â by a 55-year-old man fromÂ¬â Tacoma. The shooter was not a student or employee of the university and also killed himself. The victim was apparently chosen at random as the shooter had a personal dispute with a different staff member who was not on campus that day.[323]
5/17/2001,Pierce County,Washington,urban,College,1,No Info,No Info
10/12/2001,Taylorsville,Utah,urban,High School,0,No Info,No Info
11/12/2001,Caro,Michigan,suburban,High School,0,No Info,No Info
1/15/2002,New York City,New York,urban,High School,0,No Info,No Info
1/15/2002,New York City,New York,No Info,High School,0,2.0,"17-year-old Vincent Rodriguez, wounded two students atÂ¬â Martin Luther King, Jr. High SchoolÂ¬â in Manhattan, with a semi-automatic pistol. He was retaliating for the victims having harassed his girlfriend. In February 2003, Rodriguez was sentenced to ten years in prison on charges of assault and attempted assault.[326]"
1/16/2002,Gundy,Virginia,rural,College,3,No Info,No Info
1/16/2002,Grundy,Virginia,No Info,College,3,3.0,"Appalachian School of Law shooting: Recently dismissed graduate student, 42-year-old Peter Odighizuwa, killed three at theÂ¬â Appalachian School of Law. 42-year-old dean Anthony Sutin, and 41-year-old professor Thomas Blackwell were killed along with 33-year-old student, Angela Dales. Three other students were also wounded.[327]Â¬â Odighizuwa received three life sentences and an additional 28 years without the possibility of parole until 2005.[328]"
2/20/2002,Milwaukee,Wisconsin,No Info,High School,1,0.0,"16-year-oldÂ¬â Washington High SchoolÂ¬â student, Joseph Johnson Jr., was killed by Phillip D. Jackson Jr., when violence erupts between rival fans in the parking lot, after a basketball game betweenÂ¬â Vincent High School.[329]"
6/11/2002,Conception,Missouri,No Info,-,3,2.0,"71-year-old Lloyd Robert Jeffress opened fire at random in the halls ofÂ¬â Conception Abbey, a monastery in northwestÂ¬â Missouri."
7/26/2002,Charlotte,North Carolina,urban,Middle School,1,No Info,No Info
10/4/2002,San Antonio,Texas,urban,Middle School,1,No Info,No Info
10/7/2002,Bowie,Maryland,urban,Middle School,0,No Info,No Info
10/7/2002,Bowie,Maryland,No Info,Middle School,0,1.0,"In theÂ¬â Beltway sniper attacks, one victim of several was 13-year-old Iran Brown, who was wounded as he arrived at Benjamin Tasker Middle School inÂ¬â Bowie, Maryland. His aunt, a nurse who had just dropped him off, rushed him to a hospital emergency room. Despite serious injuries, Brown survived the attack.[331][332]"
10/28/2002,Tucson,Arizona,urban,College,4,No Info,No Info
10/28/2002,Tucson,Arizona,No Info,College,4,0.0,"Failing nursing college student andÂ¬â Gulf WarÂ¬â veteran, 40-year-old Robert Stewart Flores Jr., killed three assistant professors of nursing at theÂ¬â University of Arizona, 50-year-old Robin Rogers, 44-year-old Cheryl McGaffic, and 45-year-old Barbara Monroe, before turning the gun on himself.[333]"
10/29/2002,Jersey City,New Jersey,No Info,High School,0,1.0,"A 15-year-old student was shot in the abdomen and wounded inside a basement ofÂ¬â Lincoln High School, during an argument with another student. Another 15-year-old student was arrested and charged with attempted murder.[334]"
11/7/2002,Liberty,Missouri,suburban,Elementary School,1,No Info,No Info
12/16/2002,Chicago,Illinois,urban,High School,1,No Info,No Info
3/23/2003,Meridian,Mississippi,suburban,High School,0,No Info,No Info
4/10/2003,Walnut,California,suburban,High School,0,No Info,No Info
4/14/2003,New Orleans,Louisiana,urban,High School,1,No Info,No Info
4/14/2003,New Orleans,Louisiana,No Info,High School,1,3.0,"John McDonogh High School shooting. 18-year-old Steven Williams, and 17-year-old James Tate opened fire with anÂ¬â AK-47Â¬â and a handgun in the gymnasium ofÂ¬â John McDonogh High School, killing a 15-year-old student and wounding three female students. Williams was sentenced to life imprisonment, and Tate was sentenced to fifteen years.[335][336][337]"
4/17/2003,Addison,Texas,suburban,Elementary School,1,No Info,No Info
4/24/2003,Red Lion,Pennsylvania,suburban,Middle School,1,No Info,No Info
4/24/2003,Red Lion,Pennsylvania,No Info,High School,2,0.0,"14-year-old student James Sheets, entered Red Lion Area Junior High School armed with his stepfather's pistols. He killed the school's principal, Eugene Segro, before killing himself.[338][339]"
5/9/2003,Cleveland,Ohio,urban,College,1,No Info,No Info
5/9/2003,Cleveland,Ohio,No Info,College,1,2.0,"On May 9, 2003, Biswanath Halder, a 62-year-old business school alumnus of Case Western Reserve University, killed a graduate student and wounded a professor and another student using a semi-automatic rifle. He held the building and its nearly 100 occupants hostage for seven hours before being apprehended by a SWAT team. He was sentenced to life in prison.[340][341]"
5/13/2003,Johnstown,Pennsylvania,urban,High School,1,No Info,No Info
6/4/2003,Wellsboro,Pennsylvania,suburban,Middle School,0,No Info,No Info
7/15/2003,Dallas,Texas,urban,High School,0,No Info,No Info
9/24/2003,Cold Spring,Minnesota,suburban,High School,2,No Info,No Info
9/24/2003,Cold Spring,Minnesota,No Info,High School,2,0.0,"Rocori High School shooting: 15-year-old John Jason McLaughlin, shot 15-year-old freshman Seth Bartell and 17-year-old senior Aaron Rollins atÂ¬â Rocori High School. Rollins was killed immediately, and Bartell died from his wounds sixteen days later. McLaughlin was sentenced to life in prison with the chance of parole in 2038.[316]"
10/30/2003,Washington,District Of Columbia,urban,High School,1,No Info,No Info
11/7/2003,Sugar Land,Texas,urban,High School,1,No Info,No Info
1/21/2004,Henderson,Nevada,urban,Elementary School,1,No Info,No Info
2/2/2004,District of Columbia,District Of Columbia,urban,High School,1,No Info,No Info
2/2/2004,Washington,D.C.,No Info,High School,1,0.0,"Thomas J. Boykin was acquitted of the murder of 17-year-old James Richardson, a football player at Ballou High School in Southeast Washington.[342]"
2/9/2004,East Greenbush,New York,suburban,High School,0,No Info,No Info
2/9/2004,East Greenbush,New York,No Info,-,0,1.0,"Jon W. Romano inÂ¬â East Greenbush, New YorkÂ¬â fired two rounds from a shotgun, wounding one teacher. He was tackled by the assistant principal and charged with one count of attempted murder.[343]"
2/11/2004,Philadelphia,Pennsylvania,urban,Elementary School,1,No Info,No Info
3/17/2004,Joyce,Washington,rural,Middle School,0,No Info,No Info
5/7/2004,Randallstown,Maryland,suburban,High School,0,No Info,No Info
5/7/2004,Randallstown,Maryland,No Info,High School,0,4.0,"Two students were charged with a school shooting that arose from a dispute after a basketball game at Randallstown High School. Four persons were injured, two seriously. One student was paralyzed from the waist down.[344]"
5/24/2004,Salt Lake City,Utah,urban,High School,1,No Info,No Info
6/1/2004,St Croix,Virgin Islands,urban,High School,1,No Info,No Info
8/30/2004,Maywood,Illinois,suburban,High School,1,No Info,No Info
10/4/2004,Memphis,Tennessee,urban,High School,0,No Info,No Info
11/22/2004,Philadelphia,Pennsylvania,urban,High School,1,No Info,No Info
12/10/2004,Nine Mile Falls,Washington,suburban,High School,1,No Info,No Info
1/6/2005,Philadelphia,Pennsylvania,urban,High School,1,No Info,No Info
2/8/2005,Chicago,Illinois,No Info,High School,0,1.0,An 18-year-old student atÂ¬â Bowen High SchoolÂ¬â was shot in the leg as she left the school around 2:30Â¬â p.m.[345]
3/2/2005,Dover,Tennessee,No Info,High School,1,0.0,"14-year-old Jason Clinard, killed his bus driver, 47-year-old Joyce Gregory, as she stopped to pick him up. Gregory had earlier reported Clinard for using snuff on the school bus. Clinard was given a life sentence.[346]"
3/21/2005,Red Lake,Minnesota,rural,High School,10,No Info,No Info
3/21/2005,Red Lake,Minnesota,No Info,High School,10,7.0,"Red Lake shootings: 16-year-old studentÂ¬â Jeffrey Weise, killed his grandfather and grandfather's companion at their home, where he had been living, at theÂ¬â Red Lake Indian Reservation. He drove toÂ¬â Red Lake Senior High School. Armed with his grandfather's police weapons, Weise killed five students, one teacher, and one security guard, wounding seven others, before committing suicide.[347]"
5/17/2005,Lower Allen Township,Pennsylvania,suburban,Elementary School,1,No Info,No Info
9/13/2005,Chicago,Illinois,urban,High School,0,No Info,No Info
9/13/2005,Chicago,Illinois,No Info,High School,0,1.0,"AtÂ¬â Harlan Community Academy High School, a fight broke out between two 15-year-old boys in the gymnasium. Christopher Huff took out a pistol, shooting the other youth in the leg. A police officer on duty at the school arrested the gunman. The suspected shooter was charged as an adult with aggravated battery with a firearm.[348]"
11/8/2005,Jacksboro,Tennessee,rural,High School,1,No Info,No Info
11/8/2005,Jacksboro,Tennessee,No Info,High School,1,2.0,"Campbell County High School shooting: Inside theÂ¬â Campbell County High SchoolÂ¬â office, 15-year-old Kenneth Bartley, shot the school principal, Gary Seale. He shot assistant principals Ken Bruce and Jim Pierce. Bruce later died from his wound. Bartley was sentenced to forty-five years in prison with chance of parole after twenty-nine years.[349][350][220]"
1/13/2006,Birmingham,Alabama,urban,High School,1,No Info,No Info
1/13/2006,Longwood,Florida,No Info,Middle School,0,1.0,"15-year-old Christopher Penley, took a pellet gun to class at Milwee Middle School. After refusing to drop the weapon, he was shot when he pointed it at a police officer.[351]"
1/15/2006,Longwood,Florida,suburban,Middle School,1,No Info,No Info
2/23/2006,Roseburg,Oregon,suburban,High School,1,No Info,No Info
2/23/2006,Roseburg,Oregon,No Info,High School,0,1.0,"14-year-old freshman Vincent Wayne Leodoro, shot student 16-year-old Joseph Monti, four times in the back with a semi-automatic handgun atÂ¬â Roseburg High School. Leodoro walked away from the school campus, and was confronted near a restaurant by six police officers. He threatened suicide but was persuaded to surrender.[352]Â¬â He was found guilty of attempted murder and assault in July 2006, and will be held in prison until he turns twenty five years old.[353]"
3/14/2006,Reno,Nevada,urban,Middle School,0,No Info,No Info
3/14/2006,Reno,Nevada,No Info,Middle School,0,2.0,"Pine Middle School shooting: In the hallway of Pine Middle School, 14-year-old James Scott Newman, injured two 14-year-old classmates, Alexander Rueda and Kenzie McKeon, with a revolver belonging to his parents. Two students received minor wounds. Newman was subdued by a physical education teacher. The youth was arrested and charged as an adult for attempted murder, use of a deadly weapon and use of a firearm by a minor.[354]Â¬â He later pleaded guilty to charges of two counts of battery with a deadly weapon, and was sentenced as a juvenile. Newman was sentenced to house arrest until he completed two-hundred hours of community service.[355]"
6/5/2006,Venice,California,suburban,High School,1,No Info,No Info
8/24/2006,Essex,Vermont,suburban,Elementary School,2,No Info,No Info
8/24/2006,Essex Junction,Vermont,No Info,Elementary School,2,3.0,"Christopher Williams, 26, shot his girlfriend's mother, Linda Lambesis, 57 at her home and from there he went to Essex Elementary School where Andrea, his girlfriend, worked. After he arrived at the elementary school, which was not in session at the time, he shot and killed Mary Alicia Shanks, 56, and shot Mary Snedeker, 52, nonfatally. He left the school and allegedly shot Chad Johansen, 26 nonfatally. He then turned the gun on himself, but did not die as a result.[356]"
8/30/2006,Hillsborough,North Carolina,suburban,High School,3,No Info,No Info
8/30/2006,Hillsborough,North Carolina,No Info,High School,0,2.0,"After shooting and killing his father, teenager Alvaro Castillo went to his high school, where he wounded two students. He was reportedly obsessed with theÂ¬â Columbine shootingsÂ¬â and had written an email to the current Columbine high school principal before committing his own crime.[357]"
9/2/2006,Shepherdstown,West Virginia,suburban,College,2,No Info,No Info
9/2/2006,Shepherdstown,West Virginia,No Info,College,3,0.0,"49-year-old Douglas W. Pennington, killed himself and his two sons, 26-year-old Logan P. Pennington, 24-year-old Benjamin M. Pennington, during a visit to the campus ofÂ¬â Shepherd University.[358][359]"
9/17/2006,Pittsburgh,Pennsylvania,urban,College,0,No Info,No Info
9/17/2006,Pittsburgh,Pennsylvania,No Info,-,0,5.0,"Five Duquesne basketball players were shot early Sunday morning during an apparent act of random violence on campus, leaving three hospitalizedÂ¬â âÃÃ® two of them in critical condition.[360]"
9/27/2006,Bailey,Colorado,suburban,High School,1,No Info,No Info
9/27/2006,Bailey,Colorado,No Info,High School,2,0.0,"Platte Canyon High School hostage crisis: 53-year-old drifter, Duane Roger Morrison, walked intoÂ¬â Platte Canyon High SchoolÂ¬â and took six girls hostage. He sexually assaulted them. As a SWAT team stormed the classroom, he killed 16-year-old Emily Keyes, then took his own life.[361]"
9/29/2006,Cazenovia,Wisconsin,rural,High School,1,No Info,No Info
9/29/2006,Cazenovia,Wisconsin,No Info,High School,1,0.0,"Weston High School shooting: At around 8Â¬â a.m., 15-year-old freshman, Eric Hainstock, enteredÂ¬â Weston High School. He aimed a 20-gauge shotgun at social studies teacher, Chuck Keller, before it was wrestled from him by school custodian, Dave Thompson. Hainstock then shot 49-year-old high school principal, John Alfred Klang, with a .22 caliber revolver. Klang died later that afternoon.[362][363]Â¬â Hainstock was charged and convicted of murder, and is serving a life sentence. He will be eligible for parole in 2037.[220][364]"
10/2/2006,Nickel Mines,Pennsylvania,rural,High School,5,No Info,No Info
10/2/2006,Nickel Mines,Pennsylvania,No Info,High School,6,3.0,"West Nickel Mines School shooting: 32-year-old milk truck driver, Charles Carl Roberts IV, killed fiveÂ¬â AmishÂ¬â girls and wounded five others before killing himself in an Amish school in the hamlet of Nickel Mines, in Bart Township, Lancaster County.[365]"
10/9/2006,Joplin,Missouri,urban,Middle School,0,No Info,No Info
10/9/2006,Joplin,Missouri,No Info,Middle School,0,0.0,"13-year-old student Thomas White fired one shot from aÂ¬â Mac-90Â¬â rifle at a hallway ceiling at Memorial Middle School. The gunshot struck a water pipe, and nobody was injured. He also tried repeatedly to shoot principal Stephen Gilbreth at near-point-blank range as Gilbreth ushered him out of the school. Joplin police say the attempt was foiled by an improperly seated ammunition clip in the rifle. The principal was not injured. White was tried as an adult on charges of assault and firearms possession, and in 2009 he was sentenced to ten years of prison.[366]"
10/17/2006,Katy,Texas,suburban,High School,1,No Info,No Info
10/29/2006,Fresno,California,urban,Elementary School,1,No Info,No Info
11/28/2006,Houston,Texas,urban,High School,1,No Info,No Info
12/12/2006,Erdenheim,Pennsylvania,rural,Middle School,1,No Info,No Info
1/3/2007,Tacoma,Washington,urban,High School,1,No Info,No Info
1/3/2007,Tacoma,Washington,No Info,High School,1,0.0,"18-year-old student Douglas S. Chanthabouly, killed 17-year-old Samnang Kok, in the hallways ofÂ¬â Henry Foss High SchoolÂ¬â following a personal disagreement. In 2009, Chanthabouly was sentenced to 23 years in prison on a charge of second-degree murder.[367]"
2/8/2007,Prineville,Oregon,suburban,High School,1,No Info,No Info
3/7/2007,Midland,Michigan,urban,High School,0,No Info,No Info
3/7/2007,Greenville,Texas,suburban,High School,0,No Info,No Info
3/7/2007,Compton,California,No Info,High School,0,1.0,"During an argument with several non-students and students, a student was shot in the elbow and wounded in the eating area atÂ¬â Centennial High School. The shooting occurred an hour after classes were dismissed, and students in after-school activities were sent home.[368]"
3/24/2007,Greensboro,North Carolina,urban,College,0,No Info,No Info
4/2/2007,Seattle,Washington,urban,College,1,No Info,No Info
4/10/2007,Gresham,Oregon,urban,High School,0,No Info,No Info
4/16/2007,Blacksburg,Virginia,urban,College,32,No Info,No Info
4/16/2007,Blacksburg,Virginia,No Info,College,33,23.0,"Virginia Tech shooting: 23-year-old student,Â¬â Seung-Hui Cho, killed thirty-two students and faculty members atÂ¬â Virginia Tech, and wounded another seventeen students and faculty members in two separate attacks before committing suicide. The incident is the third-deadliest mass shooting by a single gunman in modern U.S. history."
9/21/2007,Dover,Delaware,urban,College,1,No Info,No Info
9/28/2007,Oroville,California,suburban,High School,0,No Info,No Info
9/30/2007,Memphis,Tennessee,urban,College,1,No Info,No Info
10/10/2007,Cleveland,Ohio,urban,High School,0,No Info,No Info
10/10/2007,Cleveland,Ohio,No Info,High School,1,4.0,"SuccessTech Academy shooting: Asa H. Coon, a 14-year-old suspended student, returned toÂ¬â SuccessTech Academy, where he fired shots at people inside the school building, wounding two teachers and two students. He shot himself in the head, committing suicide.[281][369]"
11/6/2007,Miami Gardens,Florida,No Info,High School,0,1.0,"43-year-old 11th grade algebra teacher, Sergio Miranda, was shot by 19-year-old Patrick Lively, outsideÂ¬â Miami Carol City Senior High SchoolÂ¬â during a robbery but was expected to survive.[370][371]Â¬â In 2011, Lively received a life sentence.[372]"
1/15/2008,Putnam City,Oklahoma,suburban,High School,0,No Info,No Info
1/16/2008,Cleveland,Ohio,urban,High School,0,No Info,No Info
1/16/2008,Charlotte,North Carolina,urban,High School,0,No Info,No Info
2/4/2008,Memphis,Tennessee,urban,High School,0,No Info,No Info
2/4/2008,Memphis,Tennessee,No Info,High School,0,1.0,"At Hamilton High School, a student shot a 16-year-old student in the leg during a classroom argument over rap music. The victim's injury was not life-threatening.[373]"
2/7/2008,Portsmouth,Ohio,suburban,Elementary School,0,No Info,No Info
2/8/2008,Baton Rouge,Louisiana,urban,College,3,No Info,No Info
2/8/2008,Baton Rouge,Louisiana,No Info,College,3,0.0,"Latina Williams, a 23-year-old nursing student atÂ¬â Louisiana Technical CollegeÂ¬â killed two classmates and herself in a second floor classroom.[374]"
2/11/2008,Memphis,Tennessee,urban,High School,0,No Info,No Info
2/11/2008,Memphis,Tennessee,No Info,High School,0,1.0,"Following a feud that started off campus earlier in the week, a 19-year-old senior was shot by a 17-year-old sophomore during a gym class held in the cafeteria with about 75 other students atÂ¬â Mitchell High School, before handing the gun to a coach making no attempt to flee. The victim suffered at least two gunshot wounds and was in critical condition, the suspected shooter was in custody. ""He walked up to him, shot him, and made a statement to the coach that 'It's over now,' "", said principal, Daniel Ware.[375]"
2/12/2008,Oxnard,California,urban,Middle School,1,No Info,No Info
2/12/2008,Oxnard,California,No Info,High School,1,0.0,"Murder of Larry King: 14-year-old Brandon McInerney, shot 15-year-old Lawrence ""Larry"" King, twice in the head in the computer laboratory ofÂ¬â E.O. Green Junior High School. McInerney was apprehended in a nearby neighborhood. King, who was openly homosexual, died two days later. McInerney was initially charged with aÂ¬â hate crime, but that charge was dropped. McInerney pleaded guilty to second-degree murder and was sentenced to 21 years in prison.[376]"
2/14/2008,DeKalb,Illinois,urban,College,5,No Info,No Info
2/14/2008,DeKalb,Illinois,No Info,College,6,21.0,"Northern Illinois University shooting: 27-year-old Steven Kazmierczak, shot multiple people in a lecture hall ofÂ¬â Northern Illinois University, killing five and injuring 21, before taking his own life. Kazmierczak was not enrolled at the university, but had attended in the years prior to the attack.[377]"
2/23/2008,Jonesboro,Arkansas,urban,College,0,No Info,No Info
2/27/2008,Little Rock,Arkansas,urban,College,0,No Info,No Info
2/28/2008,Miami Gardens,Florida,urban,High School,0,No Info,No Info
3/6/2008,Mobile,Alabama,urban,High School,1,No Info,No Info
3/7/2008,Chicago,Illinois,urban,High School,1,No Info,No Info
4/5/2008,Chicago,Illinois,urban,High School,1,No Info,No Info
4/16/2008,Fresno,California,urban,High School,1,No Info,No Info
4/24/2008,Omaha,Nebraska,urban,Middle School,0,No Info,No Info
4/29/2008,Washington,District of Columbia,urban,College,0,No Info,No Info
7/24/2008,Phoenix,Arizona,urban,College,0,No Info,No Info
8/14/2008,Federal Way,Washington,urban,Middle School,1,No Info,No Info
8/14/2008,Federal Way,Washington,No Info,Middle School,1,0.0,"26-year-old Omero Mendez was waiting at the Lakota Middle School campus to pick up his girlfriend's son. He was confronted by 16-year-old Luis F. Cosgaya-Alvarez and two of his friends, driving in anÂ¬â SUV. Cosgaya-Alvarez flashed gang signs at Mendez, and shot him once in the head. Mendez later died of his injuries. Cosgaya-Alvarez was arrested a few days later inÂ¬â SeattleÂ¬â and was charged with murder. Cosgaya-Alvarez pleaded guilty to murder and weapon enhancements, and was sentenced to eighteen years in prison.[378]"
8/21/2008,Knoxville,Tennessee,urban,High School,1,No Info,No Info
8/21/2008,Knoxville,Tennessee,No Info,High School,1,0.0,"AtÂ¬â Central High School, 15-year-old Jamar Siler killed 15-year-old Ryan McDonald. In 2011, Siler was sentenced to thirty years in prison after pleading guilty to murder in a plea agreement.[167]"
8/29/2008,Portland,Oregon,urban,High School,0,No Info,No Info
9/2/2008,Willoughby,Ohio,suburban,High School,0,No Info,No Info
9/2/2008,Willoughby,Ohio,No Info,High School,0,0.0,"A 15-year-old student brought a handgun intoÂ¬â South High School, and shot two rounds, one into the ceiling and one shattering a trophy case. The student then put the gun to his head. Then Assistant Principal Jeff Lyons talked the student out of doing any harm."
10/13/2008,San Antonio,Texas,urban,College,1,No Info,No Info
10/16/2008,Detroit,Michigan,urban,High School,1,No Info,No Info
10/16/2008,Detroit,Michigan,No Info,High School,1,3.0,"16-year-old Christopher Walker, was killed, and three other teenagers were seriously wounded during a drive-by shooting nearÂ¬â Henry Ford High School, soon after classes let out. Three teenagers were arrested and charged in connection with the shooting. The shooter, 15-year-old William Morton, was sentenced to life without parole, and Devon Bell was sentenced to forty-two years of prison.[379]"
10/20/2008,Acton,California,suburban,High School,1,No Info,No Info
10/21/2008,Indianapolis,Indiana,urban,High School,1,No Info,No Info
10/26/2008,Conway,Arkansas,urban,College,2,No Info,No Info
10/26/2008,Conway,Arkansas,No Info,College,2,1.0,"University of Central Arkansas shootings: Four young men fatally shot two students, 18-year-old Ryan Henderson, and 19-year-old Chavares Block, and wounded a 19-year-old campus visitor in the leg, outside the Arkansas Hall dormitory ofÂ¬â University of Central Arkansas.[380]"
10/31/2008,Stockton Springs,Maine,rural,Elementary School,0,No Info,No Info
11/12/2008,Fort Lauderdale,Florida,urban,High School,1,No Info,No Info
11/13/2008,Fort Lauderdale,Florida,No Info,High School,1,0.0,"15-year-old Amanda Collette, was killed in the hallway atÂ¬â Dillard High School. The shooter, 15-year-old Teah Wimberly, was sentenced to twenty-five years to life on a first-degree murder charge.[381]"
11/15/2008,St. George,Utah,urban,High School,1,No Info,No Info
11/21/2008,Savannah,Georgia,urban,College,0,No Info,No Info
1/8/2009,New Castle,Delaware,suburban,High School,0,No Info,No Info
1/9/2009,Chicago,Illinois,urban,High School,0,No Info,No Info
1/9/2009,Chicago,Illinois,No Info,High School,0,5.0,"After attendees were leaving a basketball game atÂ¬â Dunbar High School, a truck pulled over and someone inside fired shots at the crowd, wounding five people, three critically. 18-year-old Georgio Dukes, was arrested and charged a week later with five counts of felony aggravated battery with a firearm. Police believe that the attack was gang-related.[382]"
1/23/2009,Cahokia,Illinois,suburban,High School,1,No Info,No Info
2/7/2009,Houston,Texas,urban,College,1,No Info,No Info
2/11/2009,El Monte,California,urban,Elementary School,0,No Info,No Info
2/17/2009,Detroit,Michigan,urban,High School,0,No Info,No Info
3/6/2009,Fayetteville,North Carolina,urban,High School,0,No Info,No Info
3/10/2009,Jacksonville,Florida,urban,High School,2,No Info,No Info
4/10/2009,Dearborn,Michigan,urban,College,1,No Info,No Info
4/24/2009,Houston,Texas,urban,College,1,No Info,No Info
4/26/2009,Hampton,Virginia,urban,College,0,No Info,No Info
4/26/2009,Hampton,Virginia,No Info,College,0,3.0,"18-year-old Odane Greg Maye, a former student ofÂ¬â Hampton University, followed a 43-year-old pizza delivery man into his former dormitory. Armed with three guns, Maye wounded the delivery man, then the dorm monitor. Lastly, Maye shot himself in a suicide attempt. He survived and was convicted of two charges of malicious wounding, two counts of using a gun in a felony; burglary; and shooting in an occupied building. He was sentenced to fourteen years of prison in November 2009, and was ordered by a judge to pay more than $62,000 in restitution to his victims for lost wages.[383]"
5/1/2009,Sheboygan,Wisconsin,urban,High School,0,No Info,No Info
5/5/2009,Canandaigua,New York,suburban,High School,0,No Info,No Info
5/18/2009,Larose,Louisiana,suburban,Middle School,0,No Info,No Info
5/18/2009,Cambridge,Massachusetts,urban,College,1,No Info,No Info
5/18/2009,Cambridge,Massachusetts,No Info,College,1,0.0,"20-year-old Jabrai Copney, 23-year-old Jason Aquino, and 19-year-old Blayn Jiggetts, of New York City, invited 21-year-old Justin Cosby, of Cambridge, into aÂ¬â Harvard CollegeÂ¬â dormitory. After trying to rob him of a pound of marijuana, they shot him. Copney turned himself in four days later. Copney was convicted of murder. His partners pleaded guilty to armed robbery and manslaughter. His girlfriend, 21-year-old Brittany Smith, pleaded guilty toÂ¬â accessory after the fact, firearm possession, and misleading a grand jury.[384]"
5/18/2009,Larose,Louisiana,No Info,Middle School,1,0.0,"15-year-old Larose-Cut Off Middle School student, Justin Doucet, carried his backpack to a restroom, where he put on camouflage clothes, took out a semi-automatic handgun before storming into a classroom. He was going to shoot his school teacher, Jessica Plaisance, but the gun did not fire. He returned to the restroom and shot himself in the head, dying a week later of his wounds.[385][386]"
6/9/2009,Lexington,Kentucky,urban,Middle School,1,No Info,No Info
6/16/2009,San Francisco,California,urban,High School,0,No Info,No Info
6/16/2009,San Francisco,California,No Info,High School,0,3.0,"After students were being let out of International Studies Academy on the first day of summer school classes, a man left a car and opened fire, wounding three people, including a 17-year-old female student. An 18-year-old man was arrested for being an accessory in the crime.[387]"
